,fips_st_cnty,hosp_beds_22,popn_est_22,beds_per_capita_22,beds_per_1000_22
92,2220,25.0,8382.0,0.002982581722739203,2.982581722739203
93,2230,0.0,1081.0,0.0,0.0
94,2232,,,,
95,2240,0.0,7021.0,0.0,0.0
96,2261,44.0,,,
97,2275,22.0,2070.0,0.010628019323671498,10.628019323671499
98,2280,,,,
99,2282,0.0,700.0,0.0,0.0
100,2290,0.0,5179.0,0.0,0.0
101,4001,143.0,65432.0,0.0021854749969433917,2.1854749969433915
102,4003,160.0,125663.0,0.0012732466995058211,1.2732466995058211
103,4005,398.0,144060.0,0.0027627377481604888,2.7627377481604887
104,4007,61.0,53922.0,0.00113126367716331,1.13126367716331
105,4009,37.0,38779.0,0.0009541246550968307,0.9541246550968308
106,4011,0.0,9302.0,0.0,0.0
107,4012,45.0,16506.0,0.0027262813522355507,2.7262813522355507
